date,flow_actual,level_actual,flow_t1,level_t1,flow_t2,level_t2,flow_t3,level_t3,flow_t4,level_t4,flow_t5,level_t5,flow_err_t1,level_err_t1,flow_err_t2,level_err_t2,flow_err_t3,level_err_t3,flow_err_t4,level_err_t4,flow_err_t5,level_err_t5
2017-04-01,1428.0,47.91,1417.752,47.899,1420.367,47.909,1424.753,47.889,1456.759,47.918,1418.72,47.926,-10.248,-0.011,-7.633,-0.001,-3.247,-0.021,28.759,0.008,-9.28,0.016
2017-04-02,1420.0,47.9,1437.908,47.931,1415.187,47.882,1444.926,47.945,1442.126,47.911,1457.723,47.97,17.908,0.031,-4.813,-0.018,24.926,0.045,22.126,0.011,37.723,0.07
2017-04-03,1442.0,47.92,1446.423,47.928,1458.288,47.982,1438.862,47.952,1476.921,47.951,1438.913,47.875,4.423,0.008,16.288,0.062,-3.138,0.032,34.921,0.031,-3.087,-0.045
2017-04-04,1523.0,48.02,1507.972,47.963,1558.777,48.041,1578.457,48.078,1540.295,48.073,1582.453,48.014,-15.028,-0.057,35.777,0.021,55.457,0.058,17.295,0.053,59.453,-0.006
2017-04-05,1873.0,48.43,1848.926,48.359,1839.404,48.309,1875.939,48.366,1872.092,48.401,1824.999,48.394,-24.074,-0.071,-33.596,-0.121,2.939,-0.064,-0.908,-0.029,-48.001,-0.036
2017-04-06,2099.0,48.71,2092.628,48.688,2092.834,48.664,2083.278,48.643,2105.805,48.7,2073.877,48.722,-6.372,-0.022,-6.166,-0.046,-15.722,-0.067,6.805,-0.01,-25.123,0.012
2017-04-07,2330.0,48.99,2323.69,48.962,2280.24,48.921,2222.343,48.858,2297.481,48.877,2321.524,48.912,-6.31,-0.028,-49.76,-0.069,-107.657,-0.132,-32.519,-0.113,-8.476,-0.078
2017-04-08,2459.0,49.16,2435.146,49.127,2410.221,49.114,2356.834,49.02,2315.999,48.949,2442.361,49.097,-23.854,-0.033,-48.779,-0.046,-102.166,-0.14,-143.001,-0.211,-16.639,-0.063
2017-04-09,2419.0,49.11,2414.474,49.123,2396.75,49.08,2383.304,49.048,2320.37,48.951,2297.638,48.842,-4.526,0.013,-22.25,-0.03,-35.696,-0.062,-98.63,-0.159,-121.362,-0.268
2017-04-10,2359.0,49.03,2370.051,49.051,2355.329,49.046,2341.19,49.007,2336.535,48.997,2260.416,48.93,11.051,0.021,-3.671,0.016,-17.81,-0.023,-22.465,-0.033,-98.584,-0.1
2017-04-11,2341.0,49.01,2351.563,49.037,2360.96,49.043,2327.771,49.019,2310.499,48.985,2317.506,48.971,10.563,0.027,19.96,0.033,-13.229,0.009,-30.501,-0.025,-23.494,-0.039
2017-04-12,2398.0,49.08,2404.9,49.088,2409.848,49.079,2425.96,49.124,2371.755,49.065,2360.852,49.021,6.9,0.008,11.848,-0.001,27.96,0.044,-26.245,-0.015,-37.148,-0.059
2017-04-13,2468.0,49.17,2454.283,49.138,2476.016,49.165,2462.98,49.196,2484.155,49.176,2454.464,49.158,-13.717,-0.032,8.016,-0.005,-5.02,0.026,16.155,0.006,-13.536,-0.012
2017-04-14,2503.0,49.21,2481.931,49.19,2476.835,49.184,2502.87,49.199,2496.907,49.181,2546.348,49.232,-21.069,-0.02,-26.165,-0.026,-0.13,-0.011,-6.093,-0.029,43.348,0.022
2017-04-15,2509.0,49.22,2511.605,49.22,2484.861,49.198,2494.134,49.201,2531.546,49.205,2507.804,49.216,2.605,-0.0,-24.139,-0.022,-14.866,-0.019,22.546,-0.015,-1.196,-0.004
2017-04-16,2509.0,49.22,2514.098,49.233,2526.828,49.226,2505.704,49.244,2505.294,49.21,2508.109,49.215,5.098,0.013,17.828,0.006,-3.296,0.024,-3.706,-0.01,-0.891,-0.005
2017-04-17,2589.0,49.32,2594.679,49.314,2583.757,49.316,2586.182,49.291,2563.243,49.318,2577.821,49.278,5.679,-0.006,-5.243,-0.004,-2.818,-0.029,-25.757,-0.002,-11.179,-0.042
2017-04-18,2676.0,49.44,2661.347,49.412,2674.436,49.433,2674.739,49.416,2670.178,49.437,2633.965,49.382,-14.653,-0.028,-1.564,-0.007,-1.261,-0.024,-5.822,-0.003,-42.035,-0.058
2017-04-19,2731.0,49.51,2696.722,49.448,2708.306,49.453,2715.789,49.503,2725.223,49.501,2706.883,49.485,-34.278,-0.062,-22.694,-0.057,-15.211,-0.007,-5.777,-0.009,-24.117,-0.025
2017-04-20,2795.0,49.59,2774.142,49.549,2738.126,49.503,2761.459,49.537,2773.723,49.569,2768.087,49.539,-20.858,-0.041,-56.874,-0.087,-33.541,-0.053,-21.277,-0.021,-26.913,-0.051
2017-04-21,2793.0,49.59,2786.309,49.563,2780.29,49.589,2742.337,49.518,2784.611,49.553,2803.795,49.547,-6.691,-0.027,-12.71,-0.001,-50.663,-0.072,-8.389,-0.037,10.795,-0.043
2017-04-22,2799.0,49.59,2794.986,49.575,2773.376,49.555,2813.098,49.563,2760.87,49.482,2768.688,49.53,-4.014,-0.015,-25.624,-0.035,14.098,-0.027,-38.13,-0.108,-30.312,-0.06
2017-04-23,2752.0,49.53,2752.168,49.528,2760.078,49.543,2720.409,49.488,2758.37,49.529,2703.833,49.449,0.168,-0.002,8.078,0.013,-31.591,-0.042,6.37,-0.001,-48.167,-0.081
2017-04-24,2676.0,49.44,2683.413,49.454,2680.068,49.453,2681.805,49.444,2655.301,49.421,2688.479,49.455,7.413,0.014,4.068,0.013,5.805,0.004,-20.699,-0.019,12.479,0.015
2017-04-25,2596.0,49.33,2594.641,49.346,2628.079,49.364,2619.951,49.331,2613.099,49.381,2592.012,49.359,-1.359,0.016,32.079,0.034,23.951,0.001,17.099,0.051,-3.988,0.029
2017-04-26,2544.0,49.27,2547.165,49.281,2547.692,49.286,2555.356,49.31,2582.842,49.287,2574.852,49.326,3.165,0.011,3.692,0.016,11.356,0.04,38.842,0.017,30.852,0.056
2017-04-27,2479.0,49.18,2488.468,49.185,2496.309,49.235,2513.243,49.22,2503.469,49.223,2549.648,49.263,9.468,0.005,17.309,0.055,34.243,0.04,24.469,0.043,70.648,0.083
2017-04-28,2442.0,49.14,2432.201,49.128,2457.012,49.139,2448.865,49.156,2481.101,49.166,2467.508,49.184,-9.799,-0.012,15.012,-0.001,6.865,0.016,39.101,0.026,25.508,0.044
2017-04-29,2411.0,49.1,2409.235,49.097,2416.968,49.102,2412.368,49.079,2418.559,49.149,2460.655,49.136,-1.765,-0.003,5.968,0.002,1.368,-0.021,7.559,0.049,49.655,0.036
